video_id,title,filename,pub_date,assemblyai_transcript_id
B4CQiU7uyEg,Caring for this Garden through Anapanasati Dhamma Dasa The Sangha UK 196 02 28 24,2024-02-28-caring-for-this-garden-through-anapanasati-dhamma-dasa-the-sangha-uk-196-02-28-24.md,2024-02-28,8eec894c-a7a6-427a-b601-edb2a53bb13b
Jyur1x92-Nk,Death and Out of Body Experiences Gerry 21 02 28 24,2024-02-28-death-and-out-of-body-experiences-gerry-21-02-28-24.md,2024-02-28,9ecff0c6-b0bd-473a-86ee-a60b3489598b
aidBpMkKcm4,No Self and Right Attitude Joe 2 03 01 24,2024-03-01-no-self-and-right-attitude-joe-2-03-01-24.md,2024-03-01,a1b79e49-90f0-4874-902c-d724a3992aed
1tFypnPjl_w,How Long is Dependent Origination? - Paticcasamuppada The Sangha UK 197 03 02 24,2024-03-02-how-long-is-dependent-origination----paticcasamuppada-the-sangha-uk-197-03-02-24.md,2024-03-02,b34d3b8f-f26c-4b4a-afb8-8eb080b6c604
OREVJS-2lO0,Michael L 1st call 22 21 24 1,2024-03-02-michael-l-1st-call-22-21-24-1.md,2024-03-02,5ed7eae9-0db8-4f59-8bf3-950cd90ecedc
ZMmx_2okdwo,What Rules to Follow? - Dhamma Vinaya The Sangha UK 198 03 03 24,2024-03-03-what-rules-to-follow----dhamma-vinaya-the-sangha-uk-198-03-03-24.md,2024-03-03,2128ef89-d8c6-4382-a29f-33323518d864
oG3TM6I_qdA,Remember to Be Here Now Ivan 6 03 04 24,2024-03-04-remember-to-be-here-now-ivan-6-03-04-24.md,2024-03-04,bf7c178b-983a-4dc6-9b56-8eb57fc999a8
W4OhJDDkf10,Simple Repetition Alexandre 2 03 04 24,2024-03-04-simple-repetition-alexandre-2-03-04-24.md,2024-03-04,a9b5c8c9-cdf5-40d6-ba51-5496d42bb414
4CXnAY5pYNE,Stop Criticizing and Start Nurturing Carl 1 03 04 24,2024-03-04-stop-criticizing-and-start-nurturing-carl-1-03-04-24.md,2024-03-04,c5aad076-2549-4ae3-a9bc-a0d80d8ca33a
TmJVEIUZ9pg,"If We Can Stay Real, We Can Stay Happy Vinny 2 03 06 24",2024-03-06-if-we-can-stay-real--we-can-stay-happy-vinny-2-03-06-24.md,2024-03-06,1d944f24-0b19-4786-aea7-9813f0ef9764
OPBArJFnmfU,Just Be Joyful Callum 12 03 07 24,2024-03-07-just-be-joyful-callum-12-03-07-24.md,2024-03-07,db514357-aa2c-4e7a-a4a9-4a54ff69d88e
z6G5zDhLWWk,Satisfaction is Good Enough A Anonymous 5 03 07 24,2024-03-07-satisfaction-is-good-enough-a-anonymous-5-03-07-24.md,2024-03-07,363de891-fab3-4c73-952d-13fa93684e5e
L3-qsWCQam8,Turning Lead Into Gold Dhamma Dasa & DJ The Sangha UK 199 03 07 24,2024-03-07-turning-lead-into-gold-dhamma-dasa---dj-the-sangha-uk-199-03-07-24.md,2024-03-07,4f72d317-9b92-46c4-b730-c35d652c97d0
IZDCJkFOiUo,Guru Viking Ep241 Meditation Myths Dhammarato,2024-03-08-guru-viking-ep241-meditation-myths-dhammarato.md,2024-03-08,
wdVAPxsTf-Y,Ordinary Dhamma and Noble Dhamma The Sangha US 106 03 09 24,2024-03-09-ordinary-dhamma-and-noble-dhamma-the-sangha-us-106-03-09-24.md,2024-03-09,85773850-2fcd-45b4-831e-8b6add556f45
ZEqiF8D3zNk,A Direct Way To Practice Callum 12 03 10 24,2024-03-10-a-direct-way-to-practice-callum-12-03-10-24.md,2024-03-10,9bb2e8b8-c2c2-4210-af74-f0d6afa16ad6
b-wnKRvGB_o,"Mahayana, Theravada and Ourselves The Sangha UK 200 03 10 24",2024-03-10-mahayana--theravada-and-ourselves-the-sangha-uk-200-03-10-24.md,2024-03-10,81efd02f-3c2d-4669-a915-a0c80572f559
7CeVVQ_doHc,How to Breath Well Ivan 7 03 12 24,2024-03-12-how-to-breath-well-ivan-7-03-12-24.md,2024-03-12,01fecb81-eef1-40c1-89b7-979f033ee3a9
J9T8X3iiXW0,What are the Limits of Anapanasati? Freddie 7 03 15 24,2024-03-15-what-are-the-limits-of-anapanasati--freddie-7-03-15-24.md,2024-03-15,1f15afef-d1e3-4f29-b4c5-a9094c8049d9
Iln0dI6TN0o,Objects for Meditation Focus The Sangha US 107 03 16 24,2024-03-16-objects-for-meditation-focus-the-sangha-us-107-03-16-24.md,2024-03-16,b8d45e72-3719-4054-8eba-8484085377e8
rARddNn5ZeY,Up to You! Are You Up to It? The Sangha UK 201 03 17 24,2024-03-17-up-to-you--are-you-up-to-it--the-sangha-uk-201-03-17-24.md,2024-03-17,942b961c-fc7d-4988-9c6b-d5e1d34ccb80
0_iN68avrws,A Choice for How You Feel Alejandro 1 03 19 24,2024-03-19-a-choice-for-how-you-feel-alejandro-1-03-19-24.md,2024-03-19,eeb1eda5-dfd0-4e56-9217-9cd9c484a847
ahT8IyNeiog,The Teachings of the Buddha are Profound Khaled 1 03 19 24,2024-03-19-the-teachings-of-the-buddha-are-profound-khaled-1-03-19-24.md,2024-03-19,54203044-24f0-4783-ad9f-81242bb601a0
vLnYQcrQEgY,Duality is Dissatisfaction Gerry 22 03 20 24,2024-03-20-duality-is-dissatisfaction-gerry-22-03-20-24.md,2024-03-20,486fea10-e56b-4ad8-b160-cf9639f63594
lA9MAVALMQQ,Make Reality Your Friend Alexandre 3 03 20 24,2024-03-20-make-reality-your-friend-alexandre-3-03-20-24.md,2024-03-20,33ac0163-6ff6-4e99-b12b-f0722d2a9e85
eR03EefmYDE,Satisfaction is Right in Front of Us Thomas 1 03 20 24,2024-03-20-satisfaction-is-right-in-front-of-us-thomas-1-03-20-24.md,2024-03-20,0d3fd061-fcba-446b-bd4d-6e51bb573710
9yT4o5gsmHU,Starting at the Beginning Michael M 6 03 20 24,2024-03-20-starting-at-the-beginning-michael-m-6-03-20-24.md,2024-03-20,217b9115-45fb-4285-b111-f3259d8c0435
u4w0u5ANpFg,The Art of Dhamma and Not Wanting Dhamma Dasa & DJ The Sangha UK 202 03 20 24,2024-03-20-the-art-of-dhamma-and-not-wanting-dhamma-dasa---dj-the-sangha-uk-202-03-20-24.md,2024-03-20,e6f9b0df-b801-45cb-93d2-5356d117dcc6
PEFJUn9HZJ4,We Have to Teach Ourselves to Be Happy Carl 2 03 20 24,2024-03-20-we-have-to-teach-ourselves-to-be-happy-carl-2-03-20-24.md,2024-03-20,fc5a237e-4af9-44c8-a4f2-2321c47aec67
0UXQ-Ix_Hek,"Comparison, Conceit and Judgement The Sangha US 108 03 23 24",2024-03-23-comparison--conceit-and-judgement-the-sangha-us-108-03-23-24.md,2024-03-23,0125690c-8fd9-4978-becc-d593ef66feb9
s0NORgvDnoc,The Outcome of Correct Practice The Sangha UK 203 03 24 24,2024-03-24-the-outcome-of-correct-practice-the-sangha-uk-203-03-24-24.md,2024-03-24,6061d663-a6a5-4f5b-ae3b-e9ec17ba51e6
X0YguUR1_-g,The Best Way to Practice and Communicate Dhamma Dasa & DJ The Sangha UK 204 03 27 24,2024-03-27-the-best-way-to-practice-and-communicate-dhamma-dasa---dj-the-sangha-uk-204-03-27-24.md,2024-03-27,f9ed9abd-9973-40a6-9c50-fa916bd80d2e
JP3DM0yWHS0,Loneliness and Confidence The Sangha US 109 03 29 24,2024-03-29-loneliness-and-confidence-the-sangha-us-109-03-29-24.md,2024-03-29,68face52-b8b3-4451-8ce9-049bcb35696b
